index,explanation_category,explanation_type,source_file,dataset,context_1_id,user_context_1,system_context_1,context_2_id,user_context_2,system_context_2,id,user,system,short_and_easy,short_and_complex,elaborate_and_easy,elaborate_and_complex
1,rationale,rationalize,1,boolq,215f11dc590a5388e4b12f53ebb4957f6492b993f6d2cf602dad7b6365a9,what are some data points you get incorrect?,"For all the instances in the data, the model is incorrect 912 out of 3270 times (error rate 0.279).",5e0143a4de413c425d8e70062b95d8ab5d7a11d8f3804f234982d7ab1f75,what are the most important words overall?,"hypothetical, metaphor, avoided, problematic, unsuitable, shepard, limitation, dubious, ##utable, and scout are the most attributed.",254188d2e68f806d5a31aa597e55ee40bc5fa6ba0bda02e47224bf39e8cf,interpret id 8 in plain language,"Original text: Question: can u drive in canada with us license Passage: American entry into Canada by land -- Persons driving into Canada must have their vehicle's registration document and proof of insurance.
Prediction: true
Explanation: The American government must prove that the person driving the vehicle into canadian is authorized to do so. This is because canadians are required to have a drivers license and insurance to drive a vehicle in Canada.","For ID 8, the question was if someone can drive in Canada with a US license. The passage explained that anyone driving into Canada needs to have their vehicle's registration and insurance proof. The model predicted 'true' because the text suggests that as long as a driver has the necessary documentation, including a license recognized for driving in Canada, they should be able to drive there, implying that a US license is acceptable.","The model predicted ""true"" for ID 8 because the passage implies that with proper vehicle documentation, Americans can drive in Canada, which would logically extend to recognizing a US driver's license as adequate for driving in Canada.","Interpreting the information for query ID 8 in straightforward terms, the question was whether someone could drive in Canada using a US driver's license. The provided passage explains that when entering Canada by land from the US, individuals need to have their vehicle's registration and proof of insurance. The prediction that the answer is 'true' is based on interpreting this passage to imply that an American driver's license is acceptable for driving in Canada, as the requirement focuses on the vehicle's documentation rather than the country of issuance for the driver's license. Thus, the underlying reasoning is that if American drivers must present vehicle documents, it logically extends that their US driver's license is valid for driving in Canada, provided they comply with the vehicle documentation requirements. This conclusion aligns with the common understanding of cross-border travel regulations between the US and Canada, where US driver's licenses are recognized in Canada for short visits.","In plain language, the passage is discussing the requirements for Americans who wish to drive in Canada. The key point is that when Americans drive into Canada, they need to have two important documents with them: the vehicle’s registration document and proof of insurance. The question asked if you can drive in Canada with a US license. The prediction made by the model that the answer is 'true' is based on the inference that having vehicle registration and proof of insurance is part of the requirements for driving in Canada. However, the explanation provided earlier somewhat misinterprets the passage, implying a need for authorization from the American government, which is not mentioned in the passage. The correct interpretation should highlight that the passage implies American drivers are permitted to drive in Canada, provided they carry the necessary documentation, which includes, but is not directly stated as, a valid driver's license. Therefore, the connection is that a valid US driver's license, alongside the mentioned documents, is acceptable for driving in Canada, hence why the prediction is 'true'."
2,rationale,rationalize,1,boolq,254188d2e68f806d5a31aa597e55ee40bc5fa6ba0bda02e47224bf39e8cf,interpret id 8 in plain language,"Original text: Question: can u drive in canada with us license Passage: American entry into Canada by land -- Persons driving into Canada must have their vehicle's registration document and proof of insurance.
Prediction: true
Explanation: The American government must prove that the person driving the vehicle into canadian is authorized to do so. This is because canadians are required to have a drivers license and insurance to drive a vehicle in Canada.",7662aa2cf3e0754ab65b726573330c28b4ae00862309547fc1f7f21f3b52,please interpret id 18,"Original text: Question: is the tv show the resident over for the season Passage: The Resident (TV series) -- The Resident is an American medical drama television series aired by Fox Broadcasting Company that premiered on January 21, 2018, as a mid-season replacement entry in the 2017--18 television season. The fictional series focuses on the lives and duties of staff members at Chastain Park Memorial Hospital, while delving into the bureaucratic practices of the hospital industry. Formerly called The City, the show was purchased by Fox from Showtime in 2017. It was created by created by Amy Holden Jones, Hayley Schore, and Roshan Sethi. On May 10, 2017, Fox ordered a full 14-episode season and renewed the series for a second season on May 7, 2018. The first season officially concluded on May 14, 2018.
Prediction: true
Explanation: The Residents (tv show) is a medical show that airs on Fox.",e10665585d9768597dad41252f029a4905869fb7958be7b680690c2b113f,please interpret prediction 38,"Original text: Question: can carbon form polar covalent bonds with hydrogen Passage: Carbon–hydrogen bond -- The carbon-hydrogen bond (C--H bond) is a bond between carbon and hydrogen atoms that can be found in many organic compounds. This bond is a covalent bond meaning that carbon shares its outer valence electrons with up to four hydrogens. This completes both of their outer shells making them stable. Carbon--hydrogen bonds have a bond length of about 1.09 Å (1.09 × 10 m) and a bond energy of about 413 kJ/mol (see table below). Using Pauling's scale--C (2.55) and H (2.2)--the electronegativity difference between these two atoms is 0.35. Because of this small difference in electronegativities, the C−H bond is generally regarded as being non-polar. In structural formulas of molecules, the hydrogen atoms are often omitted. Compound classes consisting solely of C--H bonds and C--C bonds are alkanes, alkenes, alkynes, and aromatic hydrocarbons. Collectively they are known as hydrocarbons.
Prediction: true
Explanation: The carbon– hydrogen bond has a length around 1 Å and has an energy around 413 KJ mol-1, which makes it non polar. The bond angle between the two hydrogen and carbon atoms in the bond are around 120 degrees, this makes the carbon hydrogen non covalently bound.",,,,
3,rationale,rationalize,2,daily_dialog,555bbc462a9a3f6e552cffb2947873272299fe503b15d7a6c613771aef9e,What are the 3 most important words in deciding whether an id is inform?,"karen, fired, and apologize are the most attributed.",d994c74eaea9093a8c65fbda22ebc60816f13c10eeec3582623fbfc4ea3d,simplify the explanation for id 951,"Dialog: 'we've never expected that shanghai is such a big metropolis, same as new york city. david, would it be a good idea to rent a car here? i've got an international driver's license with a pretty good record in the states.'

Prediction: directive

Explanation: This text is likely making a request or recommendation. The Shanghai metropolit is big, so it would be good to get a rental car. However, it is also likely that the Shanghai is a metropole is being referred to in an affirmative way. David, Shanghai seems like a very big city to me. I've been to many cities in China, but Shanghai might be the biggest one to date.",8172d89ae93d0df6e834c80a5d5da9c23cb65ea614b493a5f41676a5ecdd,Rationalize the prediction for id 508 for me,"Dialog: 'sure. do you want it to be registered?'

Prediction: question

Explanation: Question dialogue acts are used to ask questions. The question here is whether the sender wants the information to get registered. Based on their response 'yes', the question is answered and the dialogue ends. Overinform dialogue Acts are similar to questions, but they are more general and are often used when the other options are not applicable. For example, if I ask you how your day was, you might respond with a detailed account of your activities. This is an overinform act, because there are many other ways to respond to this question. However, it would be more appropriate to use a commissIVE dialogue action, such as 'tell me about your days', which would provide a more succinct account. Direct dialogue Act is used by the speaker to communicate a request or order to the listener. In this case, 'do you have any questions for me?'. If the receiver does have a follow up question after the initial request, then the order is followed and a direct dialogue is concluded. Otherwise, a non-directive dialogue would conclude the conversation. In this example the request is for the questions to follow, so a command is the most appropriate dialogue label.",,,,
4,rationale,rationalize,5,olid,a4ea1db4478f5877c8b04c0345eb2e5294d870a4ab550e6a055c2bd3b2a1,What are the most frequent keywords?,"The 25 most frequent words in the dataset are:

Word	Frequence
@USER	6491
I	561
URL	392
You	234
gun	221
like	208
He	206
	186
""@USER	176
She	171
people	163
MAGA	162
control	156
&	150
The	150
liberals	148
:face_with_tears_of_joy:	128
would	114
one	113
get	113
Antifa	103
think	102
Liberals	96
know	96
And	94",0a56ee0fbbb4c385a8fd3d505ddf7d1cab8b89d80570a4eaaef493527762,"Which features are important for prediction 322?	""The original text is:
@USER They are Antifa democrats disguised as GOP looking to infiltrate the party. Don't worry though it doesn't take long to figure them out.

Top 5 token(s): ##fa ##trat it wo figure""","The original text is:
@USER They are Antifa democrats disguised as GOP looking to infiltrate the party. Don't worry though it doesn't take long to figure them out.

Top 5 token(s): ##fa ##trat it wo figure",7f296368ceb1b57d460645fadc656c1349669b7c69b4239e7cb1898e57ae,Could you explain data point 21 in natural language?,"Original text: Tweet: '@USER @USER I bet more gun control is your answer.'
Prediction: non-offensive
Explanation: While the first tweet contains a prediction, it does provide context and an explanation for why the prediction was made. In the second tweet the author expresses their opinion on gun controls, but does so in a non offensive manner.",,,,
5,rationale,rationalize,5,olid,7308c5a31a546276e88415941271ea21b631399021e45834712979a7d7b6,What are the most attributed tokens across the whole dataset for the 'offensive' class?,"product, cola, its, difference, bar, but, coca, drug, loss, and government are the most attributed.",f7772024bdf2910dbeacc06cf66e1c66f1d7fc6e7e5aa9b69c1e5a6f00ac,What are the most attributed tokens across the whole dataset for the 'non-offensive' class?,"idi, shi, gross, ##ching, ##rook, ##ches, fu, bit, ass, and vile are the most attributed.",8d4ef61b726568bbc76809df42bff509719942a3f33ec84af359ad4ec89d,Could you please justify your prediction on id 1792?,"Original text: Tweet: '@USER @USER @USER She is mentally unstable.'
Prediction: offensive
Explanation: Offensive language: ""cunt"" Negative attitude: negative tone Mental instability: offensive slur ",,,,
6,rationale,rationalize,5,olid,f7772024bdf2910dbeacc06cf66e1c66f1d7fc6e7e5aa9b69c1e5a6f00ac,What are the most attributed tokens across the whole dataset for the 'non-offensive' class?,"idi, shi, gross, ##ching, ##rook, ##ches, fu, bit, ass, and vile are the most attributed.",8d4ef61b726568bbc76809df42bff509719942a3f33ec84af359ad4ec89d,Could you please justify your prediction on id 1792?,"Original text: Tweet: '@USER @USER @USER She is mentally unstable.'
Prediction: offensive
Explanation: Offensive language: ""cunt"" Negative attitude: negative tone Mental instability: offensive slur ",c31d9a90a80ef31419897c80f4e0a15751b33f9f293054be2dd7ebd95def,And what about the rationale for id 1564?,"Original text: Tweet: '@USER NO BITCH I MEANT I DIDNT KNOW WE WERE DOING IT NOT ZOOMED IN NO BITCH THIS IS FUN'
Prediction: offensive
Explanation: Offensive language includes words or phrases such as ""bitch"", ""faggot"", or ""pussy"". While the language in the Tweet is offensive in nature, it does contain derisive terms for women and people who are LGBTQ. The use of derrogatory language towards women is a form of gender-based violence and is therefore considered offensive https://en.wikipedia.org/wiki/Gender_based_violence Derogative language targeting LGBT people is also considered to be offensive and gender nonconforming. http://www.huffingtonpost.com/entry/lgbt-pride-parade-protest_us_582d2d6ce4b0a0d4c2b7a8d8 This is an example of a tweet that contains offensive words and phrases: @USER No Bitch I Meant I Didnt Know We Were Doing It Not Zoomed In No Bitch This Is Fun I'm not sure what the context of this Tweets is, but it seems like the author is making fun of someone who is zooming in on something. I don't think this is gender based violence or targeting of LGBT individuals.",,,,
7,rationale,rationalize,5,olid,a8ce001e56fc24c81f7b7fc47e9225049e9b283207896dba419dd38bcf2b,"For id 1688, what would be a sensible augmentation?","Original text: (ID 1688)
@USER @USER If the LEFT would just stop the politics of distraction he will keep more promises MAGA
Augmentation by word replacements:
@ USER @ USER that the LEFT cannot just keep more bullying and distraction he will keep more fun is",d673fe4545717768696264ee4717b4935f333f7993057a1cecb5d07c6df9,Show me all instances that include this word for id 36,There are no instances in the data that meet this description.,a53d3d63b0039adffa8280fc59adfdc6bc7861845acf244b58accc183e40,What's your justification for predicting id 36 as 'non-offensive'?,"Original text: Tweet: '@USER @USER I don't understand how it's racist tho..'
Prediction: non-offensive
Explanation: According to the Twitter guidelines, ""offensiveness"" is defined as: ""Language or topics that may be considered offensive.",,,,
8,rationale,rationalize,5,olid,20a7f8c59f6ccab017d19ec9366e564bf0754c99c3f4a89960ee41b30931,"For my custom input, what are the top attributed tokens?","The original text is:
for data point id 786 how would i change the prediction?

Top 5 token(s): how prediction for [SEP] point",ca418f11095794fc2a9c5183d11579b53261194bfb011c207b8bbd6a144d,What are the two most attributed tokens?,"The original text is:
for data point id 786 how would i change the prediction?

Top 2 token(s): how prediction",c30e3dfacee4a50bb46de2eb86456789ec68b6e09128e800fdf4b96ac98c,What is a natural language explanation for id 412?,"Original text: Tweet: '@USER @USER @USER Hopefully conservatives will be welcomed in too.'
Prediction: non-offensive
Explanation: @USER is a Twitter handle. Hopefully is an expression used to express optimism. The word 'welcome' is also an optimistic expression.",,,,
9,rationale,rationalize,5,olid,dcb2b3a1f4564d3cf9da14f3b4f5fff53c97d551098c741af8a92b6fe50d,The 10 most attributed tokens for the offensive label,"##rook, idi, bomb, vile, shi, gross, bit, ##ches, fu, and ##ch are the most attributed.",2ae8e76621187d9809a58b6fad372f16b9b03651b232a9bcad8f9829334f,How often does the model make a wrong prediction?,"For all the instances in the data, the model is incorrect 915 out of 2648 times (error rate 0.346).",7063dbc136946f0b1caefc56760f5ae8feb04d5e5a7727f278faa3ef9da2,Explain your prediction on 1325 in natural language,"Original text: Tweet: '@USER @USER @USER Says the little commie thot. I bet that $20 is more than your hourly rate'
Prediction: offensive
Explanation: @USER is a Twitter handle. BITE is the Twitter word. @USER @USERSays the ""little commies"" thoth. ""Little commi"" is slang for communist. $20/hour is an amount that is commonly paid to an hourly wage. Says is derrogatory slur for ""communist"".",,,,
10,rationale,rationalize,5,olid,9d041df58e4def301746bed106da2037b3ef10ea3928285b676330e91ac4,What instances are most similar to id 10?,"The original text for id 0:

show me some data you predict incorrectly...

Here are some instances similar to id 0:
id 1859 (cossim 0.368):
@USER It's just getting so predictable....

id 2343 (cossim 0.284):
@USER @USER The same thing happened when Australia introduced gun control. Just rename the unemployment line...

id 1326 (cossim 0.276):
@USER Bet your butt....",6d83c2887c519628efc7bbf7b1cb1a7a593a116276d07165cd7dcbf32b4c,"Could you give me all frequent keywords, please?","The 25 most frequent words in the dataset are:

Word        Frequence
@USER        6491
I        561
URL        392
You        234
gun        221
like        208
He        206
        186
""@USER        176
She        171
people        163
MAGA        162
control        156
&        150
The        150
liberals        148
:face_with_tears_of_joy:        128
would        114
one        113
get        113
Antifa        103
think        102
Liberals        96
know        96
And        94",83162957576ef652d066053503408f091c7e68f80122701d4aaf3753ac4a,Use id 9 for rationalization,"Original text: Tweet: '@USER @USER @USER @USER @USER Looking forward to the right dragging up these tweets when the New York Times hires me as Antifa Editor'
Prediction: non-offensive
Explanation: While the language used in the original tweet was informal, it was not intended to be offensive. In addition, while the content of this tweet may not have been intended as a joke, there is no evidence that the author was making a serious statement about politics or the current political climate. The author's mention of ""antifa editor"" is likely a reference to a recent article published by the NYT about its plans to hire a former Antifascist International editor. While the article does mention that Antifeascists are being considered for other positions, this is clearly a satirical reference, and there's no indication that this author is affiliated with Antifleascst or any other group that would make them an appropriate candidate for this role.",,,,
